Date;Open;High;Low;Close;Adj Close;Volume;Rendimento;Rend %
10/09/21;145443497;146018997;141741501;141921005;141921005;32896000;-0,02065;-2,06502
13/09/21;143201004;144190994;142282501;143464996;143464996;20176000;0,01088;1,08792
14/09/21;144160995;144727493;142905502;143406006;143406006;18916000;-0,00041;-0,04112
15/09/21;143759003;145581497;142255997;145205994;145205994;20648000;0,01255;1,25517
16/09/21;145121002;145199997;143416351;144373505;144373505;20292000;-0,00573;-0,57332
17/09/21;143798492;144249496;141061493;141463501;141463501;60040000;-0,02016;-2,01561
20/09/21;139000198;139362503;137052994;139016998;139016998;34918000;-0,01729;-1,72942
21/09/21;140117004;140811600;138905502;139646500;139646500;18130000;0,00453;0,45282
22/09/21;140050507;141583496;139471756;140938507;140938507;22068000;0,00925;0,92520
23/09/21;141609497;142252457;141096497;141826508;141826508;17272000;0,00630;0,63006
24/09/21;140945999;142903503;140850494;142632996;142632996;14950000;0,00569;0,56864
27/09/21;141585495;142500000;140500000;141501007;141501007;18844000;-0,00794;-0,79364
28/09/21;139088501;139606506;135699997;136184006;136184006;42190000;-0,03758;-3,75757
29/09/21;137109695;137398499;134250000;134520996;134520996;26338000;-0,01221;-1,22115
30/09/21;134324997;135589996;133000000;133265503;133265503;35294000;-0,00933;-0,93331
01/10/21;133554504;137070999;133377502;136462494;136462494;28388000;0,02399;2,39896
04/10/21;135699493;135699997;131166504;133764999;133764999;31530000;-0,01977;-1,97673
05/10/21;134000000;137362000;134000000;136177002;136177002;24126000;0,01803;1,80316
06/10/21;134625504;137852005;134486496;137354004;137354004;19764000;0,00864;0,86432
07/10/21;138863007;140154449;138563004;139185501;139185501;18250000;0,01333;1,33341
08/10/21;139906006;140317001;139429352;140056000;140056000;18924000;0,00625;0,62542
11/10/21;139800003;140763657;138806503;138847504;138847504;16584000;-0,00863;-0,86287
12/10/21;139637497;139695007;136250000;136712997;136712997;22536000;-0,01537;-1,53730
13/10/21;137750000;138550003;136976501;137899994;137899994;16380000;0,00868;0,86824
14/10/21;139951996;141651505;139339005;141412003;141412003;21426000;0,02547;2,54678
15/10/21;142199997;142199997;141064499;141675003;141675003;21250000;0,00186;0,18598
18/10/21;141213501;142998749;141213501;142960495;142960495;16564000;0,00907;0,90735
19/10/21;143291504;144106995;143095993;143822006;143822006;15316000;0,00603;0,60262
20/10/21;144222504;144247757;141912003;142414993;142414993;17940000;-0,00978;-0,97830
21/10/21;142192001;142849503;141636993;142780502;142780502;14850000;0,00257;0,25665
22/10/21;140350998;141558502;137170502;138625000;138625000;30182000;-0,02910;-2,91041
25/10/21;138810501;139205795;136748505;138772995;138772995;21082000;0,00107;0,10676
26/10/21;140606003;140839493;139005493;139671997;139671997;28258000;0,00648;0,64782
27/10/21;139902496;149117996;139902496;146427505;146427505;51850000;0,04837;4,83669
28/10/21;147298996;147424500;144763504;146128998;146128998;32418000;-0,00204;-0,20386
29/10/21;145520004;148613007;145166504;148270493;148270493;28954000;0,01465;1,46548
01/11/21;148164993;148399506;143579498;143774002;143774002;32272000;-0,03033;-3,03263
02/11/21;144809402;146920502;144641006;145863007;145863007;21150000;0,01453;1,45298
03/11/21;146274994;146910507;145053497;146789993;146789993;17886000;0,00636;0,63552
04/11/21;147199997;149949997;146634995;148682999;148682999;24700000;0,01290;1,28960
05/11/21;149353500;150570755;148651993;149240997;149240997;20408000;0,00375;0,37529
08/11/21;150000000;151034500;149119995;149351501;149351501;18388000;0,00074;0,07404
09/11/21;149746002;150378494;147507004;149248505;149248505;16876000;-0,00069;-0,06896
10/11/21;148009750;148699997;145324997;146626007;146626007;22708000;-0,01757;-1,75714
11/11/21;147106995;148502243;146694504;146748001;146748001;12464000;0,00083;0,08320
12/11/21;147831497;149859497;146453995;149645493;149645493;17048000;0,01974;1,97447
15/11/21;150000000;150477005;148652496;149388000;149388000;16248000;-0,00172;-0,17207
16/11/21;149170502;149832504;148350006;149076004;149076004;17254000;-0,00209;-0,20885
17/11/21;149229004;149626007;148563004;149061996;149061996;15290000;-0,00009;-0,00940
18/11/21;149145996;151610001;148998505;150709000;150709000;26658000;0,01105;1,10491
19/11/21;151000000;151850006;149887497;149952499;149952499;19766000;-0,00502;-0,50196
22/11/21;150141754;150744507;147005493;147078506;147078506;24608000;-0,01917;-1,91660
23/11/21;147113007;147694000;144889496;146757004;146757004;18126000;-0,00219;-0,21859
24/11/21;146350006;147000000;145199005;146717499;146717499;16464000;-0,00027;-0,02692
26/11/21;145015503;145296997;142485504;142806000;142806000;16992000;-0,02666;-2,66601
29/11/21;144298492;146862000;144298492;146113998;146113998;26276000;0,02316;2,31643
30/11/21;145450256;146628494;142065994;142451996;142451996;41590000;-0,02506;-2,50626
01/12/21;144212494;146499146;141500000;141617996;141617996;28476000;-0,00585;-0,58546
02/12/21;141824005;144675003;140981995;143776505;143776505;21250000;0,01524;1,52418
03/12/21;144495499;145212997;141149994;142520493;142520493;26688000;-0,00874;-0,87359
06/12/21;143574005;144351501;140647003;143796494;143796494;22198000;0,00895;0,89531
